CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200223140616,MDG-a_1_n500_m50,0,1000.03s,500,50,1582437977,453194,10.27
20200223142257,MDG-a_1_n500_m50,1,1412.92s,500,50,1582438978,246120,11.39
20200223144631,MDG-a_1_n500_m50,2,1000.04s,500,50,1582440392,414071,10.28
20200223150312,MDG-a_1_n500_m50,3,953.477s,500,50,1582441393,392663,10.86
20200223151907,MDG-a_1_n500_m50,4,655.85s,500,50,1582442347,267396,11.11
20200223153004,MDG-a_7_n500_m50,0,813.698s,500,50,1582443004,342540,10.72
20200223154339,MDG-a_7_n500_m50,1,591.03s,500,50,1582443819,249992,11.19
20200223155331,MDG-a_7_n500_m50,2,887.635s,500,50,1582444411,363619,11.18
20200223160820,MDG-a_7_n500_m50,3,670.379s,500,50,1582445300,265687,11.37
20200223161931,MDG-a_7_n500_m50,4,561.514s,500,50,1582445972,234841,11.29
20200223162854,MDG-a_13_n500_m50,0,672.842s,500,50,1582446534,277541,11.15
20200223164008,MDG-a_13_n500_m50,1,1000.04s,500,50,1582447208,420169,11.05
20200223165649,MDG-a_13_n500_m50,2,891.64s,500,50,1582448209,375236,10.5
20200223171142,MDG-a_13_n500_m50,3,907.514s,500,50,1582449102,352804,10.92
20200223172650,MDG-a_13_n500_m50,4,1000.04s,500,50,1582450011,425578,11.29
20200223174331,MDG-a_3_n500_m50,0,600.509s,500,50,1582451012,250199,10.6
20200223175333,MDG-a_3_n500_m50,1,596.87s,500,50,1582451613,254882,10.95
20200223180331,MDG-a_3_n500_m50,2,1000.01s,500,50,1582452211,433364,10.73
20200223182012,MDG-a_3_n500_m50,3,837.659s,500,50,1582453212,360302,11.52
20200223183411,MDG-a_3_n500_m50,4,1000.06s,500,50,1582454051,437481,11.14
20200223185052,MDG-a_5_n500_m50,0,1000.8s,500,50,1582455052,428682,11.31
20200223190734,MDG-a_5_n500_m50,1,1000.07s,500,50,1582456054,420903,11.69
20200223192415,MDG-a_5_n500_m50,2,686.629s,500,50,1582457055,289128,11.51
20200223193542,MDG-a_5_n500_m50,3,1000.07s,500,50,1582457743,438047,11.2
20200223195224,MDG-a_5_n500_m50,4,1000.08s,500,50,1582458744,422887,11.55
20200223200905,MDG-a_8_n500_m50,0,1000s,500,50,1582459745,434333,11
20200223202546,MDG-a_8_n500_m50,1,1000.02s,500,50,1582460746,437391,10.92
20200223204227,MDG-a_8_n500_m50,2,1002.62s,500,50,1582461747,437111,10.98
20200223205911,MDG-a_8_n500_m50,3,1000.05s,500,50,1582462751,427520,11.4
20200223211552,MDG-a_8_n500_m50,4,568.905s,500,50,1582463752,239711,11.65
20200223212522,MDG-a_10_n500_m50,0,761.959s,500,50,1582464322,330990,11.25
20200223213805,MDG-a_10_n500_m50,1,742.021s,500,50,1582465085,317983,11.96
20200223215028,MDG-a_10_n500_m50,2,1000.01s,500,50,1582465828,441057,10.41
20200223220709,MDG-a_10_n500_m50,3,1000.03s,500,50,1582466829,439206,10.73
20200223222350,MDG-a_10_n500_m50,4,962.603s,500,50,1582467830,419099,10.76
20200223223954,MDG-a_12_n500_m50,0,1000.04s,500,50,1582468794,424009,11.12
20200223225635,MDG-a_12_n500_m50,1,1000.05s,500,50,1582469795,429674,10.98
20200223231316,MDG-a_12_n500_m50,2,1000.01s,500,50,1582470796,435227,10.83
20200223232957,MDG-a_12_n500_m50,3,1000.02s,500,50,1582471797,432125,11.37
20200223234638,MDG-a_12_n500_m50,4,1000.03s,500,50,1582472798,433580,11.29
20200224000319,MDG-a_15_n500_m50,0,922.696s,500,50,1582473799,395720,10.95
20200224001843,MDG-a_15_n500_m50,1,626.78s,500,50,1582474723,270629,10.93
20200224002911,MDG-a_15_n500_m50,2,816.95s,500,50,1582475351,344820,11.43
20200224004248,MDG-a_15_n500_m50,3,1000s,500,50,1582476169,433462,10.98
20200224005929,MDG-a_15_n500_m50,4,1000.04s,500,50,1582477170,428723,11.46
20200224011611,MDG-a_17_n500_m50,0,611.867s,500,50,1582478171,259424,11.52
20200224012624,MDG-a_17_n500_m50,1,1000.06s,500,50,1582478784,430819,10.95
20200224014305,MDG-a_17_n500_m50,2,1000.03s,500,50,1582479785,438509,10.89
20200224015946,MDG-a_17_n500_m50,3,551.431s,500,50,1582480786,233389,11.39
20200224020858,MDG-a_17_n500_m50,4,599.875s,500,50,1582481339,254044,11.47
20200224021859,MDG-a_18_n500_m50,0,638.368s,500,50,1582481940,274358,11.15
20200224022939,MDG-a_18_n500_m50,1,1000.03s,500,50,1582482579,428484,11.21
20200224024620,MDG-a_18_n500_m50,2,789.237s,500,50,1582483580,334808,10.95
20200224025930,MDG-a_18_n500_m50,3,972.413s,500,50,1582484370,411082,11.61
20200224031543,MDG-a_18_n500_m50,4,1000.04s,500,50,1582485344,422100,11.11
20200224033224,MDG-a_23_n2000_m200,0,4010.04s,2000,200,1582486349,14301,38
20200224043920,MDG-a_23_n2000_m200,1,4007.45s,2000,200,1582490365,15185,39
20200224054613,MDG-a_23_n2000_m200,2,4003.02s,2000,200,1582494378,16418,37
20200224065302,MDG-a_23_n2000_m200,3,4001.17s,2000,200,1582498387,16507,35
20200224075949,MDG-a_23_n2000_m200,4,
