CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj,,,
2.02002E+13,MDG-a_7_n500_m50,0,2.02002E+13,MDG-a_7_n500_m50,0,750.107s,500,50,1582161844,220493,11.24
2.02002E+13,MDG-a_7_n500_m50,1,750.08s,500,50,1582162596,232956,11.42,,,
2.02002E+13,MDG-a_18_n500_m50,0,750.09s,500,50,1582163347,232425,10.59,,,
2.02002E+13,MDG-a_18_n500_m50,1,750.035s,500,50,1582164099,340233,11.19,,,
2.02002E+13,MDG-a_25_n2000_m200,0,3002.3s,2000,200,1582164856,14309,40,,,
2.02002E+13,MDG-a_25_n2000_m200,1,3000.47s,2000,200,1582167865,15008,35,,,
2.02002E+13,MDG-b_3_n500_m50,0,750.013s,500,50,1582170866,370432,1096.57,,,
2.02002E+13,MDG-b_3_n500_m50,1,750.044s,500,50,1582171618,370848,1153.69,,,
2.02002E+13,MDG-b_12_n500_m50,0,750.023s,500,50,1582172369,372383,1075.23,,,
2.02002E+13,MDG-b_12_n500_m50,1,750.032s,500,50,1582173120,374136,1120.58,,,
2.02002E+13,MDG-b_33_n2000_m200,0,3003.25s,2000,200,1582173877,15565,3455.14,,,
2.02002E+13,MDG-b_33_n2000_m200,1,3008.22s,2000,200,1582176888,12616,3352.36,,,
2.02002E+13,MDG-c_3_n3000_m300,0,4533.95s,3000,300,1582179918,4052,4798,,,
2.02002E+13,MDG-c_3_n3000_m300,1,4511.88s,3000,300,1582184466,4510,4565,,,
2.02002E+13,MDG-c_19_n3000_m600,0,4601.89s,3000,600,1582188999,1080,9666,,,
2.02002E+13,MDG-c_19_n3000_m600,1,4575.43s,3000,600,1582193615,1058,9153,,,
2.02002E+13,01Type1_52.1_n500m200,0,750.62s,500,200,1582198192,35561,39.8,,,
2.02002E+13,01Type1_52.1_n500m200,1,750.428s,500,200,1582198945,33894,37.49,,,
2.02002E+13,09Type1_52.9_n500m200,0,52602.9s,500,200,1582199698,28685,36.85,,,
2.02002E+13,09Type1_52.9_n500m200,1,750.171s,500,200,1582252302,36765,40.03,,,
2.02002E+13,15Type1_52.15_n500m200,0,750.274s,500,200,1582253054,29875,38.68,,,
2.02002E+13,15Type1_52.15_n500m200,1,750.854s,500,200,1582253807,28235,39.78,,,
2.02002E+13,MDG-b_33_n2000_m200,0,3006.52s,2000,200,1582259290,11127,3428.15,,,
2.02002E+13,MDG-b_33_n2000_m200,1,3008.37s,2000,200,1582262308,10825,3538.25,,,
2.02002E+13,MDG-b_33_n2000_m200,2,2.02002E+13,01Type1_52.1_n500m200,0,751.325s,500,200,1582268099,22100,37.73
2.02002E+13,01Type1_52.1_n500m200,1,750.572s,500,200,1582268853,21335,40.93,,,
2.02002E+13,01Type1_52.1_n500m200,2,750.193s,500,200,1582269606,21266,36.96,,,
2.02002E+13,01Type1_52.1_n500m200,3,750.932s,500,200,1582270359,24150,38.06,,,
2.02002E+13,09Type1_52.9_n500m200,0,750.698s,500,200,1582271112,25107,43.57,,,
2.02002E+13,09Type1_52.9_n500m200,1,750.472s,500,200,1582271865,25327,37.05,,,
2.02002E+13,09Type1_52.9_n500m200,2,750.779s,500,200,1582272617,25217,38.49,,,
2.02002E+13,09Type1_52.9_n500m200,3,750.568s,500,200,1582273370,25186,41.31,,,
2.02002E+13,15Type1_52.15_n500m200,0,750.552s,500,200,1582274123,23559,37.07,,,
2.02002E+13,15Type1_52.15_n500m200,1,750.441s,500,200,1582274876,23529,40.86,,,
2.02002E+13,15Type1_52.15_n500m200,2,750.665s,500,200,1582275628,23529,37.66,,,
2.02002E+13,15Type1_52.15_n500m200,3,1002.42s,500,200,1582276381,25909,38.13,,,
2.02002E+13,MDG-a_7_n500_m50,0,750.065s,500,50,1582277385,248947,10.85,,,
2.02002E+13,MDG-a_7_n500_m50,1,752.879s,500,50,1582278137,227387,11.66,,,
2.02002E+13,MDG-a_7_n500_m50,2,750.072s,500,50,1582278891,230979,11.41,,,
2.02002E+13,MDG-a_7_n500_m50,3,750.081s,500,50,1582279643,229443,11.66,,,
2.02002E+13,MDG-a_18_n500_m50,0,750.092s,500,50,1582280394,230625,10.87,,,
2.02002E+13,MDG-a_18_n500_m50,1,750.078s,500,50,1582281146,227966,11.71,,,
2.02002E+13,MDG-a_18_n500_m50,2,750.08s,500,50,1582281898,225541,10.02,,,
2.02002E+13,MDG-a_18_n500_m50,3,750.02s,500,50,1582282649,227041,11.37,,,
2.02002E+13,MDG-a_25_n2000_m200,0,3012.07s,2000,200,1582283413,8753,41,,,
2.02002E+13,MDG-a_25_n2000_m200,1,,,,,,,,,
20200221210450,MDG-a_1_n500_m50,0,
