CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200311100952,MDG-b_1_n500_m50,0,500.035s,500,50,1583892593,291377,1065.69
20200311101814,MDG-b_1_n500_m50,1,500.041s,500,50,1583893095,290508,1102.31
20200311102636,MDG-b_1_n500_m50,2,424.65s,500,50,1583893597,236092,1117.43
20200311103342,MDG-b_1_n500_m50,3,500.005s,500,50,1583894023,292418,1139.18
20200311104204,MDG-b_1_n500_m50,4,500.037s,500,50,1583894525,286754,1083.29
20200311105026,MDG-b_1_n500_m50,5,500.046s,500,50,1583895027,285194,1118.2
20200311105848,MDG-b_1_n500_m50,6,500.042s,500,50,1583895528,281104,1144.46
20200311110709,MDG-b_1_n500_m50,7,500.016s,500,50,1583896030,286085,1080.94
20200311111531,MDG-b_1_n500_m50,8,437.622s,500,50,1583896532,237229,1115.95
20200311112250,MDG-b_1_n500_m50,9,500.878s,500,50,1583896971,284674,1166.63
20200311113113,MDG-b_2_n500_m50,0,500.035s,500,50,1583897474,279627,1131.38
20200311113935,MDG-b_2_n500_m50,1,500.021s,500,50,1583897975,287381,1122.84
20200311114756,MDG-b_2_n500_m50,2,500.03s,500,50,1583898477,286939,1051.45
20200311115618,MDG-b_2_n500_m50,3,503.258s,500,50,1583898979,274686,1109.12
20200311120443,MDG-b_2_n500_m50,4,500.041s,500,50,1583899484,293881,1110.36
20200311121305,MDG-b_2_n500_m50,5,500.179s,500,50,1583899985,283348,1070.83
20200311122127,MDG-b_2_n500_m50,6,500.028s,500,50,1583900488,276786,1112.18
20200311122948,MDG-b_2_n500_m50,7,500.03s,500,50,1583900989,290790,1132.72
20200311123810,MDG-b_2_n500_m50,8,469.284s,500,50,1583901491,268369,1103.91
20200311124601,MDG-b_2_n500_m50,9,500.039s,500,50,1583901962,288393,1117.79
20200311125423,MDG-b_3_n500_m50,0,500.024s,500,50,1583902464,282683,1086.65
20200311130245,MDG-b_3_n500_m50,1,500.012s,500,50,1583902965,284566,1081.38
20200311131106,MDG-b_3_n500_m50,2,475.792s,500,50,1583903467,269258,1095.08
20200311131904,MDG-b_3_n500_m50,3,500.054s,500,50,1583903945,288848,1161.27
20200311132725,MDG-b_3_n500_m50,4,500.037s,500,50,1583904446,290663,1101.48
20200311133547,MDG-b_3_n500_m50,5,500.025s,500,50,1583904948,291091,1107.3
20200311134409,MDG-b_3_n500_m50,6,500.02s,500,50,1583905450,289413,1124.08
20200311135231,MDG-b_3_n500_m50,7,500.037s,500,50,1583905951,285265,1116.39
20200311140052,MDG-b_3_n500_m50,8,452.751s,500,50,1583906453,248123,1092.61
20200311140827,MDG-b_3_n500_m50,9,453.479s,500,50,1583906908,257101,1113.09
20200311141602,MDG-b_4_n500_m50,0,500.011s,500,50,1583907363,260319,1089.69
20200311142424,MDG-b_4_n500_m50,1,500.022s,500,50,1583907865,281620,1143.4
20200311143245,MDG-b_4_n500_m50,2,500.003s,500,50,1583908366,290893,1042.69
20200311144107,MDG-b_4_n500_m50,3,500.013s,500,50,1583908868,291573,1136.43
20200311144929,MDG-b_4_n500_m50,4,500.022s,500,50,1583909370,282464,1085.69
20200311145750,MDG-b_4_n500_m50,5,500.049s,500,50,1583909871,286143,1102.41
20200311150612,MDG-b_4_n500_m50,6,500.036s,500,50,1583910373,274392,1106.94
20200311151434,MDG-b_4_n500_m50,7,500.038s,500,50,1583910875,287014,1113.7
20200311152256,MDG-b_4_n500_m50,8,500.063s,500,50,1583911376,283129,1148.68
20200311153117,MDG-b_4_n500_m50,9,500.022s,500,50,1583911878,279799,1061.05
20200311153939,MDG-b_5_n500_m50,0,500.005s,500,50,1583912380,287936,1150.5
20200311154801,MDG-b_5_n500_m50,1,469.707s,500,50,1583912882,268385,1098.32
20200311155552,MDG-b_5_n500_m50,2,465.886s,500,50,1583913353,252046,1166.39
20200311160340,MDG-b_5_n500_m50,3,500.033s,500,50,1583913821,289855,1037.23
20200311161201,MDG-b_5_n500_m50,4,500.055s,500,50,1583914322,274271,1062.49
20200311162023,MDG-b_5_n500_m50,5,500.004s,500,50,1583914824,290157,1111.23
20200311162845,MDG-b_5_n500_m50,6,500.008s,500,50,1583915326,279316,1149.52
20200311163707,MDG-b_5_n500_m50,7,444.087s,500,50,1583915828,236175,1096.12
20200311164432,MDG-b_5_n500_m50,8,500.051s,500,50,1583916273,291047,1129.19
20200311165254,MDG-b_5_n500_m50,9,497.522s,500,50,1583916775,275591,1160.52
20200311170113,MDG-b_6_n500_m50,0,500.061s,500,50,1583917274,287600,1142.89
20200311170935,MDG-b_6_n500_m50,1,500.018s,500,50,1583917776,284182,1083.14
20200311171757,MDG-b_6_n500_m50,2,500.016s,500,50,1583918278,273088,1141.92
20200311172619,MDG-b_6_n500_m50,3,500.036s,500,50,1583918779,288213,1144.55
20200311173440,MDG-b_6_n500_m50,4,500.029s,500,50,1583919281,278005,1136.96
20200311174302,MDG-b_6_n500_m50,5,481.76s,500,50,1583919783,249410,1081.89
20200311175105,MDG-b_6_n500_m50,6,500.035s,500,50,1583920266,288574,1003.99
20200311175927,MDG-b_6_n500_m50,7,500.06s,500,50,1583920768,279393,1100.38
20200311180749,MDG-b_6_n500_m50,8,500.058s,500,50,1583921270,287620,1142.12
