CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200310085953,GKD-c_1_n500_m50,0,500.08s,500,50,1583801994,238996,8.79228
20200310090817,GKD-c_1_n500_m50,1,500.079s,500,50,1583802497,272356,8.76009
20200310091638,GKD-c_1_n500_m50,2,500.022s,500,50,1583802999,367983,8.65882
20200310092459,GKD-c_1_n500_m50,3,500.147s,500,50,1583803500,353887,7.79757
20200310093320,GKD-c_1_n500_m50,4,500.051s,500,50,1583804001,343148,8.90602
20200310094141,GKD-c_7_n500_m50,0,500.039s,500,50,1583804502,327856,13.7336
20200310095003,GKD-c_7_n500_m50,1,500.032s,500,50,1583805003,346251,11.1663
20200310095824,GKD-c_7_n500_m50,2,500.048s,500,50,1583805504,363572,11.3528
20200310100645,GKD-c_7_n500_m50,3,500.138s,500,50,1583806005,361426,8.85954
20200310101506,GKD-c_7_n500_m50,4,500.121s,500,50,1583806506,344361,7.62979
20200310102327,GKD-c_8_n500_m50,0,500.071s,500,50,1583807007,374029,9.8041
20200310103148,GKD-c_8_n500_m50,1,500.054s,500,50,1583807508,391378,10.3302
20200310104009,GKD-c_8_n500_m50,2,500.04s,500,50,1583808009,366387,12.6617
20200310104830,GKD-c_8_n500_m50,3,500.08s,500,50,1583808510,381350,11.9898
20200310105651,GKD-c_8_n500_m50,4,500.085s,500,50,1583809011,363899,9.22756
20200310110512,GKD-c_10_n500_m50,0,500.102s,500,50,1583809512,338635,14.6944
20200310111333,GKD-c_10_n500_m50,1,500.01s,500,50,1583810013,367437,10.5448
20200310112154,GKD-c_10_n500_m50,2,500.007s,500,50,1583810514,351793,7.89762
20200310113015,GKD-c_10_n500_m50,3,500.118s,500,50,1583811015,361603,8.49925
20200310113836,GKD-c_10_n500_m50,4,500.034s,500,50,1583811516,374238,11.0216
20200310114657,GKD-c_13_n500_m50,0,500.013s,500,50,1583812017,328565,11.7194
20200310115517,GKD-c_13_n500_m50,1,500.087s,500,50,1583812518,278334,12.8942
20200310120339,GKD-c_13_n500_m50,2,500.094s,500,50,1583813019,147998,10.1449
20200310121201,GKD-c_13_n500_m50,3,500.028s,500,50,1583813522,143662,13.0299
20200310122023,GKD-c_13_n500_m50,4,5883.88s,500,50,1583814023,919,15.3088
20200310135831,GKD-c_15_n500_m50,0,500.321s,500,50,1583819912,188757,9.6633
20200310140654,GKD-c_15_n500_m50,1,500.251s,500,50,1583820414,148006,11.3609
20200310141516,GKD-c_15_n500_m50,2,3521.67s,500,50,1583820917,76516,10.2386
20200310151359,GKD-c_15_n500_m50,3,500.107s,500,50,1583824444,187325,8.89622
20200310152225,GKD-c_15_n500_m50,4,500.135s,500,50,1583824946,209132,12.2668
20200310153047,GKD-c_18_n500_m50,0,500.091s,500,50,1583825447,289946,10.2128
20200310153908,GKD-c_18_n500_m50,1,500.114s,500,50,1583825949,313308,8.53342
20200310154730,GKD-c_18_n500_m50,2,500.056s,500,50,1583826450,330459,10.2215
20200310155551,GKD-c_18_n500_m50,3,500.03s,500,50,1583826951,342383,9.7715
20200310160412,GKD-c_18_n500_m50,4,500.125s,500,50,1583827452,363979,9.28391
