CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200303170155,MDG-b_1_n500_m50,0,500.004s,500,50,1583226115,233262,1144.67
20200303171016,MDG-b_1_n500_m50,1,500.063s,500,50,1583226616,267521,955.08
20200303171837,MDG-b_1_n500_m50,2,500.05s,500,50,1583227118,258327,1133.67
20200303172658,MDG-b_1_n500_m50,3,500.094s,500,50,1583227618,252776,1117.81
20200303173519,MDG-b_1_n500_m50,4,500.014s,500,50,1583228120,253934,1117.45
20200303174342,MDG-b_3_n500_m50,0,435.539s,500,50,1583228622,236829,1113.54
20200303175058,MDG-b_3_n500_m50,1,500.056s,500,50,1583229059,259372,1125.52
20200303175920,MDG-b_3_n500_m50,2,500.063s,500,50,1583229560,267238,1053.06
20200303180741,MDG-b_3_n500_m50,3,500.059s,500,50,1583230061,242083,1004.06
20200303181602,MDG-b_3_n500_m50,4,500.043s,500,50,1583230563,248080,1173.02
20200303182423,MDG-b_5_n500_m50,0,496.916s,500,50,1583231064,242717,1135.52
20200303183242,MDG-b_5_n500_m50,1,500.031s,500,50,1583231562,259015,1105.57
20200303184103,MDG-b_5_n500_m50,2,500.033s,500,50,1583232063,282095,1017.99
20200303184924,MDG-b_5_n500_m50,3,500.08s,500,50,1583232564,262092,1132.92
20200303185745,MDG-b_5_n500_m50,4,500.016s,500,50,1583233066,262489,1026.53
20200303190606,MDG-b_8_n500_m50,0,500.019s,500,50,1583233567,262224,1082.79
20200303191428,MDG-b_8_n500_m50,1,421.515s,500,50,1583234068,250836,1111.99
20200303192130,MDG-b_8_n500_m50,2,500.058s,500,50,1583234491,299122,1133.97
20200303192951,MDG-b_8_n500_m50,3,500.019s,500,50,1583234992,293496,1033.41
20200303193812,MDG-b_8_n500_m50,4,470.05s,500,50,1583235493,297062,1179.73
20200303194603,MDG-b_9_n500_m50,0,430.408s,500,50,1583235964,272757,1145.51
20200303195315,MDG-b_9_n500_m50,1,489.594s,500,50,1583236395,294321,1165.86
20200303200126,MDG-b_9_n500_m50,2,422.773s,500,50,1583236886,245627,1161.24
20200303200829,MDG-b_9_n500_m50,3,500.029s,500,50,1583237310,292844,1137.36
20200303201650,MDG-b_9_n500_m50,4,500.034s,500,50,1583237811,282872,1143.06
20200303202511,MDG-b_9_n500_m50,0,500.033s,500,50,1583238312,289837,1124.45
20200303203332,MDG-b_9_n500_m50,1,500.037s,500,50,1583238813,286303,1105.25
20200303204153,MDG-b_9_n500_m50,2,500.026s,500,50,1583239314,282687,1103.49
20200303205015,MDG-b_9_n500_m50,3,500.015s,500,50,1583239815,282256,1137.63
20200303205836,MDG-b_9_n500_m50,4,500.028s,500,50,1583240316,281219,1179.11
20200303210657,MDG-b_10_n500_m50,0,459.501s,500,50,1583240817,272356,1183.84
