CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200305205256,MDG-a_24_n2000_m200,0,2001.02s,2000,200,1583412781,13452,37
20200305212623,MDG-a_24_n2000_m200,1,2001.52s,2000,200,1583414787,13795,38
20200305215949,MDG-a_24_n2000_m200,2,2000.93s,2000,200,1583416794,13680,39
20200305223315,MDG-a_24_n2000_m200,3,2001.75s,2000,200,1583418800,13718,38
20200305230642,MDG-a_24_n2000_m200,4,2004.61s,2000,200,1583420807,13925,37
20200305234012,MDG-a_28_n2000_m200,0,2000.04s,2000,200,1583422817,13616,35
20200306001338,MDG-a_28_n2000_m200,1,2000.61s,2000,200,1583424822,14431,38
20200306004703,MDG-a_28_n2000_m200,2,2000.82s,2000,200,1583426827,14035,36
20200306012029,MDG-a_28_n2000_m200,3,2005.24s,2000,200,1583428833,13706,36
20200306015359,MDG-a_28_n2000_m200,4,2003.3s,2000,200,1583430844,14074,37
20200306022727,MDG-a_33_n2000_m200,0,2001.12s,2000,200,1583432852,13781,38
20200306030054,MDG-a_33_n2000_m200,1,2003.5s,2000,200,1583434859,13198,37
20200306033423,MDG-a_33_n2000_m200,2,2004.08s,2000,200,1583436867,13398,39
20200306040752,MDG-a_33_n2000_m200,3,2004.19s,2000,200,1583438876,14029,36
20200306044121,MDG-a_33_n2000_m200,4,2000.67s,2000,200,1583440886,13497,39
20200306051447,MDG-a_32_n2000_m200,0,2001.92s,2000,200,1583442892,13881,38
20200306054814,MDG-a_32_n2000_m200,1,2004.73s,2000,200,1583444899,13125,36
20200306062144,MDG-a_32_n2000_m200,2,2000.89s,2000,200,1583446909,14168,36
20200306065510,MDG-a_32_n2000_m200,3,2003.95s,2000,200,1583448915,13900,38
20200306072839,MDG-a_32_n2000_m200,4,2003.72s,2000,200,1583450924,13669,37
20200306080208,MDG-a_35_n2000_m200,0,2004.09s,2000,200,1583452933,13593,36
20200306083537,MDG-a_35_n2000_m200,1,2002.44s,2000,200,1583454942,12750,37
20200306090905,MDG-a_35_n2000_m200,2,2034.51s,2000,200,1583456950,11920,37
20200306094305,MDG-a_35_n2000_m200,3,2000.31s,2000,200,1583458990,13256,40
20200306101630,MDG-a_35_n2000_m200,4,2002.29s,2000,200,1583460994,14190,41
20200306104957,MDG-a_38_n2000_m200,0,2002.18s,2000,200,1583463002,12794,36
20200306112325,MDG-a_38_n2000_m200,1,2004.29s,2000,200,1583465009,14385,38
20200306115654,MDG-a_38_n2000_m200,2,2001.84s,2000,200,1583467018,14365,37
20200306123020,MDG-a_38_n2000_m200,3,2000.16s,2000,200,1583469025,13011,36
20200306130345,MDG-a_38_n2000_m200,4,2001.87s,2000,200,1583471029,15107,37
20200306133712,MDG-a_40_n2000_m200,0,2000.44s,2000,200,1583473036,15431,36
20200306141037,MDG-a_40_n2000_m200,1,2003.68s,2000,200,1583475041,14811,38
20200306144405,MDG-a_40_n2000_m200,2,2000.04s,2000,200,1583477049,14840,37
20200306151730,MDG-a_40_n2000_m200,3,2004.29s,2000,200,1583479054,15602,38
20200306155059,MDG-a_40_n2000_m200,4,2003.26s,2000,200,1583481063,15526,40
20200306162426,MDG-b_21_n2000_m200,0,2004.68s,2000,200,1583483071,14931,3233.68
20200306165757,MDG-b_21_n2000_m200,1,2000.64s,2000,200,1583485082,14882,3296
20200306173123,MDG-b_21_n2000_m200,2,2003.11s,2000,200,1583487088,14914,3335.19
20200306180452,MDG-b_21_n2000_m200,3,2000.44s,2000,200,1583489097,14401,3066.52
20200306183818,MDG-b_21_n2000_m200,4,2003.2s,2000,200,1583491103,14676,3475.62
20200306191146,MDG-b_24_n2000_m200,0,2000.07s,2000,200,1583493111,14039,3301.8
20200306194512,MDG-b_24_n2000_m200,1,2000.65s,2000,200,1583495117,14838,3287.73
20200306201838,MDG-b_24_n2000_m200,2,2002.03s,2000,200,1583497123,15230,3155.22
20200306205206,MDG-b_24_n2000_m200,3,2003.89s,2000,200,1583499131,15422,3190.69
20200306212535,MDG-b_24_n2000_m200,4,2001.02s,2000,200,1583501140,14955,3117.14
20200306215902,MDG-b_27_n2000_m200,0,2000.99s,2000,200,1583503147,14980,3391.16
20200306223229,MDG-b_27_n2000_m200,1,2001.19s,2000,200,1583505154,15153,3410.18
20200306230555,MDG-b_27_n2000_m200,2,2002.81s,2000,200,1583507160,14532,3177.66
20200306233924,MDG-b_27_n2000_m200,3,2003.09s,2000,200,1583509169,15119,3176.59
20200307001252,MDG-b_27_n2000_m200,4,2000.21s,2000,200,1583511177,14694,3417.85
20200307004618,MDG-b_33_n2000_m200,0,2001.75s,2000,200,1583513183,14210,3157.7
20200307011946,MDG-b_33_n2000_m200,1,2000.74s,2000,200,1583515191,14155,3167.15
20200307015312,MDG-b_33_n2000_m200,2,2002.87s,2000,200,1583517197,15086,3319.96
20200307022640,MDG-b_33_n2000_m200,3,2005.07s,2000,200,1583519205,15085,3340.79
20200307030011,MDG-b_33_n2000_m200,4,2000.94s,2000,200,1583521216,15360,3204.08
20200307033338,MDG-b_38_n2000_m200,0,2000.33s,2000,200,1583523223,14549,3020.89
20200307040703,MDG-b_38_n2000_m200,1,2000.63s,2000,200,1583525228,14655,3528.86
20200307044030,MDG-b_38_n2000_m200,2,2001.84s,2000,200,1583527235,14688,3376.97
20200307051357,MDG-b_38_n2000_m200,3,2004.72s,2000,200,1583529242,14666,3173.28
20200307054727,MDG-b_38_n2000_m200,4,2000.54s,2000,200,1583531252,14550,3169.72
20200307062054,10Type1_52.10_n500m200,0,500.46s,500,200,1583533254,34499,38.33
20200307062915,10Type1_52.10_n500m200,1,500.487s,500,200,1583533756,34572,39.27
20200307063737,10Type1_52.10_n500m200,2,500.159s,500,200,1583534258,34405,39.7
20200307064558,10Type1_52.10_n500m200,3,500.33s,500,200,1583534759,34703,37.73
20200307065420,10Type1_52.10_n500m200,4,500.279s,500,200,1583535260,34593,37.87
20200307070241,13Type1_52.13_n500m200,0,500.125s,500,200,1583535762,34510,41.55
20200307071103,13Type1_52.13_n500m200,1,500.459s,500,200,1583536263,33865,37.92
20200307071924,13Type1_52.13_n500m200,2,500.085s,500,200,1583536765,33971,38.39
20200307072746,13Type1_52.13_n500m200,3,500.089s,500,200,1583537266,34262,36.73
20200307073607,13Type1_52.13_n500m200,4,500.223s,500,200,1583537767,34198,40.86
20200307074428,15Type1_52.15_n500m200,0,500.307s,500,200,1583538269,34592,36.26
20200307075250,15Type1_52.15_n500m200,1,500.507s,500,200,1583538771,34382,37.94
20200307080112,15Type1_52.15_n500m200,2,500.28s,500,200,1583539272,34219,39.13
20200307080933,15Type1_52.15_n500m200,3,500.266s,500,200,1583539774,34313,42.92
20200307081755,15Type1_52.15_n500m200,4,500.304s,500,200,1583540275,34147,41.87
20200307082616,16Type1_52.16_n500m200,0,500.305s,500,200,1583540777,34250,36.38
20200307083438,16Type1_52.16_n500m200,1,500.178s,500,200,1583541278,34232,35.7
20200307084259,16Type1_52.16_n500m200,2,500.037s,500,200,1583541780,34259,40.06
20200307085120,16Type1_52.16_n500m200,3,500.294s,500,200,1583542281,33987,36.79
