CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200305085944,MDG-a_24_n2000_m200,0,2003.87s,2000,200,1583369990,16965,38
20200305093315,MDG-a_24_n2000_m200,1,2003.7s,2000,200,1583372000,13615,36
20200305100645,MDG-a_24_n2000_m200,2,2000.77s,2000,200,1583374010,16316,40
20200305104012,MDG-a_24_n2000_m200,3,2001.38s,2000,200,1583376017,16508,37
20200305111340,MDG-a_24_n2000_m200,4,2003.05s,2000,200,1583378025,16267,37
20200305114709,MDG-a_28_n2000_m200,0,2007.36s,2000,200,1583380034,8944,38
20200305122042,MDG-a_28_n2000_m200,1,2004.18s,2000,200,1583382048,16261,39
20200305125413,MDG-a_28_n2000_m200,2,2010.04s,2000,200,1583384058,16886,38
20200305132749,MDG-a_28_n2000_m200,3,2000.14s,2000,200,1583386075,16816,38
20200305140115,MDG-a_28_n2000_m200,4,2003.67s,2000,200,1583388081,15219,34
20200305143445,MDG-a_33_n2000_m200,0,2000.69s,2000,200,1583390091,9153,39
20200305150812,MDG-a_33_n2000_m200,1,2003.23s,2000,200,1583392098,16540,38
20200305154142,MDG-a_33_n2000_m200,2,2000.97s,2000,200,1583394107,16411,36
20200305161509,MDG-a_33_n2000_m200,3,2000.21s,2000,200,1583396114,16326,39
20200305164835,MDG-a_33_n2000_m200,4,2000.89s,2000,200,1583398121,16715,37
20200305172203,MDG-a_32_n2000_m200,0,2006.05s,2000,200,1583400128,9135,40
20200305175535,MDG-a_32_n2000_m200,1,2000.25s,2000,200,1583402140,16723,37
20200305182901,MDG-a_32_n2000_m200,2,2003.51s,2000,200,1583404147,16445,39
20200305190231,MDG-a_32_n2000_m200,3,2001.67s,2000,200,1583406157,8599,37
20200305193559,MDG-a_32_n2000_m200,4,2000.4s,2000,200,1583408165,16709,37
20200305200926,MDG-a_35_n2000_m200,0,2004.93s,2000,200,1583410172,9193,36
20200305204257,MDG-a_35_n2000_m200,1,2003.39s,2000,200,1583412183,16219,36
20200305211627,MDG-a_35_n2000_m200,2,2003.15s,2000,200,1583414193,16536,39
20200305214956,MDG-a_35_n2000_m200,3,2003.27s,2000,200,1583416202,16739,37
20200305222326,MDG-a_35_n2000_m200,4,2002.14s,2000,200,1583418212,16184,39
20200305225654,MDG-a_38_n2000_m200,0,2000.66s,2000,200,1583420220,9013,39
20200305233021,MDG-a_38_n2000_m200,1,2002.4s,2000,200,1583422227,16502,36
20200306000350,MDG-a_38_n2000_m200,2,2003.88s,2000,200,1583424235,16711,38
20200306003720,MDG-a_38_n2000_m200,3,2002.62s,2000,200,1583426245,16471,39
20200306011049,MDG-a_38_n2000_m200,4,2001.15s,2000,200,1583428254,16869,38
20200306014416,MDG-a_40_n2000_m200,0,2003.64s,2000,200,1583430262,9864,38
20200306021746,MDG-a_40_n2000_m200,1,2002.6s,2000,200,1583432272,16962,39
20200306025115,MDG-a_40_n2000_m200,2,2003.86s,2000,200,1583434281,17044,37
20200306032445,MDG-a_40_n2000_m200,3,2002.29s,2000,200,1583436291,16593,36
20200306035814,MDG-a_40_n2000_m200,4,2003.57s,2000,200,1583438299,16979,37
20200306043144,MDG-b_21_n2000_m200,0,2006.86s,2000,200,1583440328,9397,3406.31
20200306050536,MDG-b_21_n2000_m200,1,2001.09s,2000,200,1583442361,16508,3278.36
20200306053923,MDG-b_21_n2000_m200,2,2001.07s,2000,200,1583444388,16492,3319.95
