CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200303170725,MDG-b_1_n500_m50,0,502.442s,500,50,1583226446,278250,1122.25
20200303171549,MDG-b_1_n500_m50,1,500.022s,500,50,1583226950,276228,1113.59
20200303172410,MDG-b_1_n500_m50,2,500.702s,500,50,1583227451,269871,1097.99
20200303173233,MDG-b_1_n500_m50,3,500.344s,500,50,1583227954,268466,1051.29
20200303174055,MDG-b_1_n500_m50,4,500.008s,500,50,1583228456,283607,1114.43
20200303174916,MDG-b_1_n500_m50,5,500.033s,500,50,1583228957,285831,1090.36
20200303175738,MDG-b_1_n500_m50,6,500.009s,500,50,1583229459,278369,1147.03
20200303180600,MDG-b_1_n500_m50,7,500.048s,500,50,1583229961,284613,1118.75
20200303181421,MDG-b_1_n500_m50,8,500.032s,500,50,1583230462,265426,1098.54
20200303182243,MDG-b_1_n500_m50,9,462.77s,500,50,1583230964,248200,1144.72
20200303183027,MDG-b_3_n500_m50,0,500.017s,500,50,1583231428,285507,1124.54
20200303183849,MDG-b_3_n500_m50,1,500.038s,500,50,1583231930,265427,1059.74
20200303184711,MDG-b_3_n500_m50,2,500.055s,500,50,1583232432,275916,1146.22
20200303185533,MDG-b_3_n500_m50,3,500.048s,500,50,1583232933,272119,1175.17
20200303190354,MDG-b_3_n500_m50,4,500.003s,500,50,1583233435,275912,1142.84
20200303191216,MDG-b_3_n500_m50,5,500.024s,500,50,1583233937,284329,1156.16
20200303192038,MDG-b_3_n500_m50,6,500.048s,500,50,1583234438,268219,1092.53
20200303192859,MDG-b_3_n500_m50,7,500.9s,500,50,1583234940,264689,1086.05
20200303193722,MDG-b_3_n500_m50,8,500.027s,500,50,1583235443,279209,1030.68
20200303194543,MDG-b_3_n500_m50,9,500.049s,500,50,1583235944,287945,1110.62
20200303195405,MDG-b_5_n500_m50,0,500.038s,500,50,1583236446,279185,1155.53
20200303200227,MDG-b_5_n500_m50,1,500.042s,500,50,1583236948,283046,1145.56
20200303201049,MDG-b_5_n500_m50,2,500.021s,500,50,1583237449,284820,1159.4
20200303201910,MDG-b_5_n500_m50,3,500.045s,500,50,1583237951,280600,1121
20200303202732,MDG-b_5_n500_m50,4,441.682s,500,50,1583238453,237492,1074.21
20200303203455,MDG-b_5_n500_m50,5,500.015s,500,50,1583238896,282140,1131.32
20200303204317,MDG-b_5_n500_m50,6,469.431s,500,50,1583239398,258405,1153.69
20200303205108,MDG-b_5_n500_m50,7,500.062s,500,50,1583239869,282410,1168.54
20200303205930,MDG-b_5_n500_m50,8,500.489s,500,50,1583240371,277783,1126.79
20200303210752,MDG-b_5_n500_m50,9,458.315s,500,50,1583240873,245131,1119.69
20200303211532,MDG-b_8_n500_m50,0,500.009s,500,50,1583241333,282989,1103.11
20200303212353,MDG-b_8_n500_m50,1,468.273s,500,50,1583241834,250712,1108.72
20200303213143,MDG-b_8_n500_m50,2,500.06s,500,50,1583242304,286609,1165.07
20200303214005,MDG-b_8_n500_m50,3,500.052s,500,50,1583242806,283160,1079.97
20200303214827,MDG-b_8_n500_m50,4,500.015s,500,50,1583243308,274197,1097.64
20200303215648,MDG-b_8_n500_m50,5,500.004s,500,50,1583243809,287868,1139.98
20200303220510,MDG-b_8_n500_m50,6,426.27s,500,50,1583244311,236531,1165.48
20200303221218,MDG-b_8_n500_m50,7,500.031s,500,50,1583244739,281434,1023.67
20200303222040,MDG-b_8_n500_m50,8,500.062s,500,50,1583245240,275326,1080.39
20200303222901,MDG-b_8_n500_m50,9,500.043s,500,50,1583245742,282363,1168.93
20200303223723,MDG-b_9_n500_m50,0,500.052s,500,50,1583246244,268976,1078.51
20200303224545,MDG-b_9_n500_m50,1,460.561s,500,50,1583246746,254537,1086.17
20200303225327,MDG-b_9_n500_m50,2,500.016s,500,50,1583247208,281320,1058.01
20200303230149,MDG-b_9_n500_m50,3,500.019s,500,50,1583247709,272785,1122.53
20200303231010,MDG-b_9_n500_m50,4,491.177s,500,50,1583248211,260226,1070.68
20200303231823,MDG-b_9_n500_m50,5,500.055s,500,50,1583248704,280183,1124.08
20200303232645,MDG-b_9_n500_m50,6,442.655s,500,50,1583249206,242464,1054.71
20200303233409,MDG-b_9_n500_m50,7,446.881s,500,50,1583249650,247937,1133.91
20200303234138,MDG-b_9_n500_m50,8,494.944s,500,50,1583250098,275360,1077.66
20200303234954,MDG-b_9_n500_m50,9,500.012s,500,50,1583250595,281931,1066.84
20200303235816,MDG-b_9_n500_m50,0,461.921s,500,50,1583251097,246869,1117.85
20200304000559,MDG-b_9_n500_m50,1,500.016s,500,50,1583251560,281710,1042.62
20200304001421,MDG-b_9_n500_m50,2,453.221s,500,50,1583252062,242874,1098.22
20200304002156,MDG-b_9_n500_m50,3,500.226s,500,50,1583252517,280378,1080.16
20200304003018,MDG-b_9_n500_m50,4,500.007s,500,50,1583253019,274143,1113.55
20200304003839,MDG-b_9_n500_m50,5,432.782s,500,50,1583253520,242309,1124.86
20200304004554,MDG-b_9_n500_m50,6,500.019s,500,50,1583253955,284683,1093.22
20200304005415,MDG-b_9_n500_m50,7,500.005s,500,50,1583254456,286270,1072.55
20200304010237,MDG-b_9_n500_m50,8,508.962s,500,50,1583254958,277019,1081.79
20200304011108,MDG-b_9_n500_m50,9,500.033s,500,50,1583255469,280931,1132.08
20200304011929,MDG-b_10_n500_m50,0,500.054s,500,50,1583255970,279296,1059.57
20200304012751,MDG-b_10_n500_m50,1,479.907s,500,50,1583256472,260866,1095.85
20200304013553,MDG-b_10_n500_m50,2,458.497s,500,50,1583256954,248261,1089.02
20200304014333,MDG-b_10_n500_m50,3,500.04s,500,50,1583257414,274789,1155.58
20200304015155,MDG-b_10_n500_m50,4,470.165s,500,50,1583257916,260083,1105.43
20200304015946,MDG-b_10_n500_m50,5,500.032s,500,50,1583258387,287061,1130.01
20200304020808,MDG-b_10_n500_m50,6,417.541s,500,50,1583258889,235379,1149.32
20200304021507,MDG-b_10_n500_m50,7,498.57s,500,50,1583259308,276002,1098.79
20200304022327,MDG-b_10_n500_m50,8,464.07s,500,50,1583259808,252107,1132.09
20200304023113,MDG-b_10_n500_m50,9,500.013s,500,50,1583260274,285334,1027.57
20200304023935,MDG-b_11_n500_m50,0,500.018s,500,50,1583260776,286699,1046.36
20200304024757,MDG-b_11_n500_m50,1,500.004s,500,50,1583261277,282477,1098.55
20200304025618,MDG-b_11_n500_m50,2,500.018s,500,50,1583261779,282453,1079.98
