CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200310085439,GKD-c_1_n500_m50,0,500.085s,500,50,1583801680,286754,6.87738
20200310090302,GKD-c_1_n500_m50,1,500.147s,500,50,1583802183,308184,9.07903
20200310091124,GKD-c_1_n500_m50,2,500.03s,500,50,1583802686,318216,10.1349
20200310091947,GKD-c_1_n500_m50,3,500.703s,500,50,1583803188,307323,12.667
20200310092810,GKD-c_1_n500_m50,4,500.092s,500,50,1583803692,310284,8.22642
20200310093632,GKD-c_7_n500_m50,0,500.097s,500,50,1583804194,316254,9.40723
20200310094455,GKD-c_7_n500_m50,1,500.052s,500,50,1583804697,300764,8.19966
20200310095317,GKD-c_7_n500_m50,2,500.121s,500,50,1583805199,315292,13.0713
20200310100140,GKD-c_7_n500_m50,3,500.026s,500,50,1583805702,308684,11.1059
20200310101002,GKD-c_7_n500_m50,4,500.038s,500,50,1583806204,293602,11.987
20200310101825,GKD-c_8_n500_m50,0,500.085s,500,50,1583806707,309904,11.9915
20200310102647,GKD-c_8_n500_m50,1,500.038s,500,50,1583807209,301261,8.11922
20200310103510,GKD-c_8_n500_m50,2,500.064s,500,50,1583807711,310121,9.84422
20200310104332,GKD-c_8_n500_m50,3,500.097s,500,50,1583808214,300756,8.71288
20200310105155,GKD-c_8_n500_m50,4,500.071s,500,50,1583808716,310702,9.08204
20200310110017,GKD-c_10_n500_m50,0,500.064s,500,50,1583809219,297655,9.41877
20200310110840,GKD-c_10_n500_m50,1,500.081s,500,50,1583809722,299025,12.4244
20200310111703,GKD-c_10_n500_m50,2,500.128s,500,50,1583810224,294616,12.4461
20200310112525,GKD-c_10_n500_m50,3,500.021s,500,50,1583810727,286597,9.4243
20200310113348,GKD-c_10_n500_m50,4,500.102s,500,50,1583811229,293318,9.45068
20200310114210,GKD-c_13_n500_m50,0,500.042s,500,50,1583811732,289225,6.85547
20200310115033,GKD-c_13_n500_m50,1,500.044s,500,50,1583812235,287366,9.51214
20200310115856,GKD-c_13_n500_m50,2,500.018s,500,50,1583812737,300415,11.306
20200310120718,GKD-c_13_n500_m50,3,500.006s,500,50,1583813240,292675,8.78473
20200310121541,GKD-c_13_n500_m50,4,500.16s,500,50,1583813742,298587,9.17424
20200310122403,GKD-c_15_n500_m50,0,500.01s,500,50,1583814245,305967,11.1937
20200310123226,GKD-c_15_n500_m50,1,500.143s,500,50,1583814748,305061,9.34126
20200310124048,GKD-c_15_n500_m50,2,500.136s,500,50,1583815250,303832,9.08948
20200310124911,GKD-c_15_n500_m50,3,500.072s,500,50,1583815753,298631,8.36261
20200310125734,GKD-c_15_n500_m50,4,500.243s,500,50,1583816255,299811,7.94253
20200310130556,GKD-c_18_n500_m50,0,500.036s,500,50,1583816758,310378,8.06923
20200310131419,GKD-c_18_n500_m50,1,500.155s,500,50,1583817260,307577,7.74066
20200310132241,GKD-c_18_n500_m50,2,500.069s,500,50,1583817763,298643,10.8408
20200310133104,GKD-c_18_n500_m50,3,500.022s,500,50,1583818265,308591,10.9232
20200310133926,GKD-c_18_n500_m50,4,500.089s,500,50,1583818768,307781,11.1701
