CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200307124315,MDG-c_1_n3000_m300,0,3009.89s,3000,300,1583556209,5529,4798
20200307133340,MDG-c_1_n3000_m300,1,3006.65s,3000,300,1583559234,5240,4698
20200307142401,MDG-c_1_n3000_m300,2,3015.1s,3000,300,1583562254,5626,4688
20200307151430,MDG-c_1_n3000_m300,3,3011.05s,3000,300,1583565283,5530,4782
20200307160455,MDG-c_1_n3000_m300,4,3018.33s,3000,300,1583568308,5385,4381
20200307165527,MDG-c_5_n3000_m300,0,3024.4s,3000,300,1583571340,3371,4802
20200307174605,MDG-c_5_n3000_m300,1,3016.42s,3000,300,1583574378,5473,4673
20200307183636,MDG-c_5_n3000_m300,2,3011.82s,3000,300,1583577409,5527,4856
20200307192702,MDG-c_5_n3000_m300,3,3015.93s,3000,300,1583580435,5793,4611
20200307201731,MDG-c_5_n3000_m300,4,3014s,3000,300,1583583464,5372,4759
20200307210759,MDG-c_6_n3000_m400,0,3026.27s,3000,400,1583586492,1759,5911
20200307215840,MDG-c_6_n3000_m400,1,3022.96s,3000,400,1583589533,2845,5766
20200307224917,MDG-c_6_n3000_m400,2,3039.22s,3000,400,1583592570,2644,6227
20200307234010,MDG-c_6_n3000_m400,3,3023.61s,3000,400,1583595623,2668,6289
20200308003047,MDG-c_6_n3000_m400,4,3008.94s,3000,400,1583598660,2579,6086
20200308012110,MDG-c_8_n3000_m400,0,3044.76s,3000,400,1583601682,1893,6305
20200308021208,MDG-c_8_n3000_m400,1,3034.01s,3000,400,1583604741,2496,6173
20200308030256,MDG-c_8_n3000_m400,2,3011.43s,3000,400,1583607790,2700,5953
20200308035322,MDG-c_8_n3000_m400,3,3029.21s,3000,400,1583610815,2700,6375
20200308044405,MDG-c_8_n3000_m400,4,3018.13s,3000,400,1583613857,2845,6233
20200308053436,MDG-c_14_n3000_m500,0,3047.02s,3000,500,1583616889,1138,7972
20200308062537,MDG-c_14_n3000_m500,1,3040.65s,3000,500,1583619950,1469,8413
20200308071632,MDG-c_14_n3000_m500,2,3060.39s,3000,500,1583623006,1456,7764
20200308080747,MDG-c_14_n3000_m500,3,3079.72s,3000,500,1583626080,1464,8021
20200308085921,MDG-c_14_n3000_m500,4,3182.37s,3000,500,1583629175,1545,7812
20200308095238,MDG-c_17_n3000_m600,0,3035.42s,3000,600,1583632372,784,9974
20200308104328,MDG-c_17_n3000_m600,1,3225.53s,3000,600,1583635421,911,10002
20200308113727,MDG-c_17_n3000_m600,2,3119.7s,3000,600,1583638661,896,9848
20200308122942,MDG-c_17_n3000_m600,3,3154.96s,3000,600,1583641795,900,9552
20200308132230,MDG-c_17_n3000_m600,4,3066.3s,3000,600,1583644963,943,9754
20200308141350,MDG-c_20_n3000_m600,0,3048.81s,3000,600,1583648044,798,9606
20200308150453,MDG-c_20_n3000_m600,1,3241.18s,3000,600,1583651106,886,10160
20200308155908,MDG-c_20_n3000_m600,2,3042.55s,3000,600,1583654361,893,9932
20200308165005,MDG-c_20_n3000_m600,3,3045.01s,3000,600,1583657418,851,9590
20200308174104,MDG-c_20_n3000_m600,4,3352.96s,3000,600,1583660477,921,9955
20200308183711,MDG-c_11_n3000_m500,0,3026.8s,3000,500,1583663844,1114,7943
20200308192752,MDG-c_11_n3000_m500,1,3011.53s,3000,500,1583666885,1419,7430
20200308201817,MDG-c_11_n3000_m500,2,3054.29s,3000,500,1583669910,1484,7666
20200308210925,MDG-c_11_n3000_m500,3,3075.82s,3000,500,1583672978,1445,7680
20200308220055,MDG-c_11_n3000_m500,4,3045.51s,3000,500,1583676068,1480,7960
