CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200223140932,MDG-c_3_n3000_m300,0,6003.28s,3000,300,1582438187,6137,4576
20200223154951,MDG-c_3_n3000_m300,1,6000.69s,3000,300,1582444203,6073,4677
20200223173005,MDG-c_3_n3000_m300,2,6002.92s,3000,300,1582450217,6229,4609
20200223191021,MDG-c_3_n3000_m300,3,6023.13s,3000,300,1582456233,6268,4653
20200223205057,MDG-c_3_n3000_m300,4,6010.87s,3000,300,1582462269,6216,4617
20200223223121,MDG-c_7_n3000_m400,0,6000.75s,3000,400,1582468293,3439,6021
20200224001135,MDG-c_7_n3000_m400,1,6006.45s,3000,400,1582474308,3423,6411
20200224015155,MDG-c_7_n3000_m400,2,6033.08s,3000,400,1582480328,3437,5846
20200224033242,MDG-c_7_n3000_m400,3,6032.59s,3000,400,1582486375,2816,6342
20200224051328,MDG-c_7_n3000_m400,4,6054.02s,3000,400,1582492422,2889,6160
20200224065436,MDG-c_11_n3000_m500,0,6015.77s,3000,500,1582498490,1861,7654
20200224083507,MDG-c_11_n3000_m500,1,6036.82s,3000,500,1582504519,1834,7430
20200224101556,MDG-c_11_n3000_m500,2,6041.47s,3000,500,1582510569,1734,7768
20200224115651,MDG-c_11_n3000_m500,3,6045.97s,3000,500,1582516625,1759,8283
20200224133752,MDG-c_11_n3000_m500,4,6101.49s,3000,500,1582522685,1734,8097
20200224151947,MDG-c_19_n3000_m600,0,6108.05s,3000,600,1582528801,1277,9856
20200224170150,MDG-c_19_n3000_m600,1,6136.81s,3000,600,1582534923,1309,9389
20200224184421,MDG-c_19_n3000_m600,2,6109.81s,3000,600,1582541074,1262,9490
20200224202624,MDG-c_19_n3000_m600,3,6207.95s,3000,600,1582547198,1285,10079
20200224221007,MDG-c_19_n3000_m600,4,6129.47s,3000,600,1582553421,1287,9490
