CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200224090111,MDG-a_24_n2000_m200,0,4008.4s,2000,200,1582506076,16034,36
20200224100805,MDG-a_24_n2000_m200,1,4006.9s,2000,200,1582510090,14016,37
20200224111458,MDG-a_24_n2000_m200,2,4005.13s,2000,200,1582514103,14000,37
20200224122149,MDG-a_24_n2000_m200,3,4003.55s,2000,200,1582518114,14728,35
20200224132839,MDG-a_24_n2000_m200,4,4008.84s,2000,200,1582522124,14612,39
20200224143533,MDG-a_32_n2000_m200,0,4006.53s,2000,200,1582526139,14305,36
20200224154226,MDG-a_32_n2000_m200,1,4003.08s,2000,200,1582530151,15475,38
20200224164915,MDG-a_32_n2000_m200,2,4005.02s,2000,200,1582534160,14386,38
20200224175605,MDG-a_32_n2000_m200,3,4002.63s,2000,200,1582538170,16476,39
20200224190254,MDG-a_32_n2000_m200,4,4007.62s,2000,200,1582542178,14638,36
20200224200947,MDG-a_35_n2000_m200,0,4008.86s,2000,200,1582546193,13675,37
20200224211642,MDG-a_35_n2000_m200,1,4007.46s,2000,200,1582550208,14728,38
20200224222336,MDG-a_35_n2000_m200,2,4009.88s,2000,200,1582554222,14270,37
20200224233032,MDG-a_35_n2000_m200,3,4000.46s,2000,200,1582558237,23783,39
20200225003718,MDG-a_35_n2000_m200,4,4000.91s,2000,200,1582562243,27349,37
20200225014404,MDG-b_5_n500_m50,0,745.814s,500,50,1582566245,427812,1104.26
20200225015631,MDG-b_5_n500_m50,1,518.862s,500,50,1582566991,304947,1100.98
20200225020511,MDG-b_5_n500_m50,2,485.803s,500,50,1582567511,270609,1088.98
20200225021318,MDG-b_5_n500_m50,3,584.138s,500,50,1582567998,337935,1101.39
20200225022303,MDG-b_5_n500_m50,4,615.821s,500,50,1582568583,335410,1093.8
20200225023319,MDG-b_11_n500_m50,0,624.332s,500,50,1582569200,356188,1083.21
20200225024345,MDG-b_11_n500_m50,1,422.775s,500,50,1582569825,251380,1158.26
20200225025048,MDG-b_11_n500_m50,2,489.272s,500,50,1582570249,274764,1140.16
20200225025859,MDG-b_11_n500_m50,3,592.63s,500,50,1582570739,344932,1147.36
20200225030852,MDG-b_11_n500_m50,4,933s,500,50,1582571333,549171,1131.51
20200225032426,MDG-b_14_n500_m50,0,600.894s,500,50,1582572267,353299,1119.51
20200225033428,MDG-b_14_n500_m50,1,494.091s,500,50,1582572869,273779,1157.85
20200225034243,MDG-b_14_n500_m50,2,492.622s,500,50,1582573364,285548,1150.56
20200225035057,MDG-b_14_n500_m50,3,401.685s,500,50,1582573857,239061,1062.75
20200225035740,MDG-b_14_n500_m50,4,476.496s,500,50,1582574260,273995,1170.46
20200225040537,MDG-b_15_n500_m50,0,482.264s,500,50,1582574737,279942,1110.96
20200225041340,MDG-b_15_n500_m50,1,437.3s,500,50,1582575221,257927,1065.25
20200225042059,MDG-b_15_n500_m50,2,403.579s,500,50,1582575659,232748,1134.48
20200225042743,MDG-b_15_n500_m50,3,679.954s,500,50,1582576064,399756,1115.96
20200225043904,MDG-b_15_n500_m50,4,511.943s,500,50,1582576744,293581,1162.05
20200225044737,MDG-b_32_n2000_m200,0,4000.49s,2000,200,1582577262,27163,3202.25
20200225055423,MDG-b_32_n2000_m200,1,4001.56s,2000,200,1582581269,27002,3169.42
20200225070111,MDG-b_32_n2000_m200,2,4002.56s,2000,200,1582585276,27069,3136.88
20200225080759,MDG-b_32_n2000_m200,3,4002.44s,2000,200,1582589285,26748,3282.72
20200225091448,MDG-b_32_n2000_m200,4,4006.61s,2000,200,1582593294,23271,3107.56
20200225102931,MDG-a_24_n2000_m200,0,
